Datum_Empfänger;Sentiment Score
1809-05-12_ErnstKarlFriedrichLudwig;0,009559
1809-05-22_ErnstKarlFriedrichLudwig;0,000064
1810-01-21_JohannFriedrichWilhelmBornträger;0,001373
1810-05-01_JohannFriedrichWilhelmBornträger;-0,000542
1810-08-28_JohannFriedrichWilhelmBornträger;0,044102
1810-09-17_JohannFriedrichWilhelmBornträger;0,012245
1810-10-14_JohannFriedrichWilhelmBornträger;-0,003151
1810-11-10_JohannFriedrichWilhelmBornträger;0,008144
1810-11-21_JohannFriedrichWilhelmBornträger;-0,016693
1810-12-09_JohannFriedrichWilhelmBornträger;-0,005959
1810-12-14_ErnstKarlFriedrichLudwig;-0,002718
1810-12-29_JohannFriedrichWilhelmBornträger;-0,006217
1811-01-04_ErnstKarlFriedrichLudwig;0,006332
1811-01-09_ErnstKarlFriedrichLudwig;0,000246
1811-01-15_JohannFriedrichWilhelmBornträger;-0,016439
1811-02-27_JohannFriedrichWilhelmBornträger;-0,001576
1811-03-23_ErnstKarlFriedrichLudwig;0,001768
1811-03-26_ErnstKarlFriedrichLudwig;-0,019031
1811-03-30_CarolineRichter;-0,006939
1811-03-30_FriedrichFerdinandHempel;0,008263
1811-08-30_JohannFriedrichWilhelmBornträger;0,008576
